Sender,Receiver,Amount,Gas_Price,Gas_Used,Timestamp,Sender_Receiver_Count,Nonce_Jump,Contract_Interaction_Frequency,Failed_Transactions,Transaction_Fee,Time_Anomaly,Cyclic_Transactions,New_Account_Transaction
0x0d68416e03c0441ed11cfeb157fb95ea53f652a4,0x12f34b992db1d7bbc3fcddde2847d231e3f57cb2,8.890641086055348,62.32285088652988,315563,1676226464,9,1,0,0,8755089.347112207,1,1,1
0x483955987787c50d92cec0e20bd257b323ebd585,0x09399cb735c003b6bc3f599e411bda32debbe57b,3.163977113013194,17.725367468631898,134206,1673025337,6,1,2,0,6847233.1449423935,0,0,1
0x05618c7adb1db7ff3df68b35b37d78981705271e,0x60a752d3c07622afdc516348be15a769ca046a06,0.5285778811095178,195.52836513503934,337400,1670118069,7,3,0,0,2140610.927633591,1,0,0
0x96b8e13255562686a2021a51184ca1cca4e30325,0xb5ec9a7f17ff670aef7a31c9e88f8a7e4074df45,9.19824288944328,54.655616821319775,377364,1670621601,9,2,2,0,98714740.6074826,0,1,1
0x0215ba90071ec51f4cace87cae3087042883356c,0x8244c3b1cb701e60b61446bca1f8cdc3bc2a0a2f,4.368245219881579,182.10721889727617,356361,1676769284,7,4,0,0,40866425.40225187,1,0,0
0x890ad69d7e006846d6904cf5b3672ef5555d7749,0x0ba2cee22e200a94be293109d790226c50022ae6,1.177063742346606,31.12843338240569,88399,1671314270,8,3,0,1,74046344.5164103,0,1,1
0x305207aa2472d62c0f1427eac35184f9912da7a3,0xaee16b13f50adf50f0ce908f958889c1648cbce9,3.5985569794319217,12.729071306246425,305432,1671119223,2,3,1,1,29539159.814244345,0,0,1
0xd570bcaea1a4abb5f0e9aac7be539f90d0414a8f,0x9f844c87c4dcfdaac117e3dc9186363b74278866,7.823868247243819,44.85933630960369,320129,1671576181,1,1,0,0,40073077.73500729,1,1,0
0x1edbff4899a254f96cd54dc3c8cd90d2a190b1a4,0x747526bc67a185bf0e7e4bd8926770f7975fb728,5.79483110051271,31.298530901578072,129893,1674052257,1,1,0,0,44615535.446601875,1,1,1
0x522b0873c059392d5aba975ee94022cc99cd1f1a,0x76079f8bd86623b35b66a4d3d60cd6cc34747fcf,9.4085235651809,93.24555670227032,485627,1677030857,1,2,1,1,45591332.38403093,1,0,0
0x1d4a1df1d7c972c26b97bbfc962dada7e9d1910c,0xcd039a0a3a36c59cc60aa2791905e06b48f64b61,9.879641675539277,87.55031481764252,484868,1676535204,5,2,2,1,82293162.54984154,1,1,1
0xa9a954cf0f77ff6cf144be7a589ae569cdc9a9a5,0xfd2fdfee3546d9233c646f206d15b9201025a911,3.6655358884322236,181.62506642157308,402894,1673186252,6,4,1,1,34687099.26546458,0,1,0
0x5767efc52e16a7e8c5ad86e90a9c9b238f3c171b,0x498e4ada821c9684db3cd24b6f801408782340f6,8.821701116754348,69.94017157918219,338563,1679341449,5,3,0,0,74257339.79750256,1,1,1
0x98f0b843b3a1a24f906303cb2165302d6da19797,0xbaffda4d455902a2a0e336d1e9835a31a3bd3f6d,9.577939674578015,50.780509197299516,260081,1676501597,6,4,1,0,85648260.31977183,1,0,0
0x5c085bb908fc23876f33fad3f8f45ea1e555e0df,0xe4dcdc4240dc7da64cf4cecfe8e240e9087a059a,2.0295768014148954,105.86914379004186,468556,1672258774,5,2,2,1,87775563.46676905,0,0,1
0x69d78c01d96b537ca18c5303e3e70825ea33a8b9,0xe82dab7155b696a6cb027b7f4808cd55a7547155,9.117786761055012,61.91472767898516,251818,1674840343,6,1,0,1,18793057.728252266,1,1,0
0x7f9216ea96098ef60c539cef2675e8a777de5933,0x7b3dbfb579e2c5ccd76cb82c3d54d58cd0d08156,1.5102461456944345,52.00766429865059,453110,1676716574,1,3,2,1,24300995.82292496,1,0,0
0x9e0da77e033fedbd833c39a1e6d9190ba5994d15,0x2093a066fe151b07286549b2afd955c02f4ad135,5.223363351780216,27.62589556309547,447227,1672513702,3,4,2,0,69626995.87668963,0,0,0
0xbc5aa6c4e5caa134566587b6cbc0a3163337bc20,0x6fc029d83c044c0094dc44442c36042bc409c155,8.08810684427868,98.98526648206106,121446,1670222138,4,4,1,1,12936284.190953445,1,0,1
0xd3eb6461d2e62d3e219cac9dba091079e5a0602c,0xbf5816aaa9b5f6ff079ca26a2b8edde29e1a0f3f,3.577935490962365,82.12841667771015,489680,1679774327,3,3,2,1,46651206.8090529,0,1,0
0x27aa7d92f64cad562c5205789dc389eec52d4ede,0x8dbf699d7ed8e9d54cdc04dba2d0c1933e577ff3,1.5765206878363651,31.317221412037604,391180,1678878237,5,4,1,1,6230294.1325724255,1,1,0
0x09206e330783ec0644b852335a6f076132b43be6,0xa6dc36023822eabf04160668e1fdd3a58e58e009,3.217269204592681,17.244419404909934,266479,1671094337,1,1,0,1,92746206.92966647,0,0,0
0xefc196afda8026ddf58c65f0433c07c66b573d51,0xe8a9dfb33224a8acafd78615100b715191b32569,5.800513262339498,134.32157835403774,57089,1676398913,3,2,1,1,56398256.37368785,1,0,1
0x6820ac657285a21afef3569668e9fe45edccd2b8,0x8a836814376ed87cdaab2961adfedbc1171387ff,3.7252292976102557,51.39869641290302,202985,1673847003,1,4,1,1,73956963.98411798,0,1,0
0x2a788aeffc902453991f515e135d3135b55e2d94,0xf7d21900ae9798a55bd8b5e50322ac1e0c5f7429,7.714868013896578,82.82728545086945,214566,1676115081,1,1,1,0,67586930.63146389,0,1,1
0xf8a2aed659667c6fbc9e82b317b46e01afab98a4,0xab6fa1e467f7474f9f8e67294c8d27bfaaa04526,6.979752493691172,24.464416899539913,106711,1674857316,2,4,2,0,61630012.04413134,0,1,1
0xe382f44a6ab2c8ae90f5ae8efce0eee33cae727a,0x2f395c9961c53216213dd0e3da04f371daf2c629,7.337359521569931,95.22357928447614,128364,1677604901,4,1,1,1,70471470.64710543,0,0,0
0xc66d7aa19b581033bffc4b5af5e7742a98808ee7,0x39975b769b2c1df0d5a854d7dfa545de65245a42,6.092834028971715,86.05037081583446,69291,1673834729,1,3,1,0,80097234.38927841,0,0,1
0xb4c0f95bfbbb784c8bd2fa185703cae6d31a3a5d,0xf53a215466cee2b3854793fddd6e81f2b89ac1ee,1.0046247568243234,12.351049481489376,65283,1672825563,7,2,0,1,64832745.83615357,1,0,1
