Sender,Receiver,Amount,Gas_Price,Gas_Used,Timestamp,Sender_Receiver_Count,Nonce_Jump,Contract_Interaction_Frequency,Failed_Transactions,Transaction_Fee,Time_Anomaly,Cyclic_Transactions,New_Account_Transaction,Fraud_Label
0xSender00103,0xReceiver00088,2.1384749046651796,82.4262525624469,153482,1674983814,2,1,1,1,6882525.677342689,1,0,0,0
0xSender00436,0xReceiver00204,2.7179192715022333,124.89796273026505,202560,1679673198,5,2,1,1,354426304.7251246,1,1,1,1
0xSender00349,0xReceiver00016,3.0494206517509803,143.11632249128013,398207,1677434978,2,4,1,1,91799616.34683006,1,1,1,1
0xSender00271,0xReceiver00151,5.149651624888995,122.82767608187702,128483,1676722302,2,2,1,0,46836323.65089049,0,0,0,0
0xSender00107,0xReceiver00424,7.1374390307361,184.8466346873331,442468,1676805227,6,4,0,1,14989503.302772384,1,0,0,0
0xSender00072,0xReceiver00254,9.26281966226283,129.32338313982018,272619,1678607073,1,1,2,1,60843303.995068274,0,0,0,0
0xSender00189,0xReceiver00188,0.8934914974816694,176.93033539885954,356353,1671740998,2,4,1,0,23875062.237227544,1,1,1,0
0xSender00021,0xReceiver00329,9.544149928660076,121.52210267923596,331376,1670211378,5,1,1,1,59845256.55229564,0,1,0,0
0xSender00103,0xReceiver00032,9.214016441297165,72.63911900872372,435137,1670773255,5,1,0,1,94714962.257883,1,0,1,0
0xSender00122,0xReceiver00271,0.549452928888579,111.13639532180711,167031,1676459276,3,3,0,1,92170931.53797182,0,0,0,0
0xSender00467,0xReceiver00485,3.6096081655387113,26.40397103380449,279081,1671361896,5,1,1,0,20845971.551790807,0,1,1,0
0xSender00215,0xReceiver00397,8.13330246909037,53.73318044020092,103685,1671830689,9,3,2,1,10819375.336570906,1,1,1,0
0xSender00331,0xReceiver00005,6.119649689339217,155.58401581870618,146521,1673709646,2,2,0,1,26117245.656105597,1,1,1,1
0xSender00459,0xReceiver00459,7.793148494383886,135.68036603004094,66545,1675777815,6,1,0,0,83021957.34798212,1,0,0,0
0xSender00088,0xReceiver00330,7.193143054510976,41.63855500143366,107847,1674556782,8,1,0,0,25681450.643681355,0,0,0,0
0xSender00373,0xReceiver00308,4.972733430140364,93.22288348903542,325491,1670736141,3,1,0,0,29109799.071231022,0,1,1,0
0xSender00100,0xReceiver00333,0.4217682790574784,36.97851912674746,183706,1679856761,2,4,1,1,23398282.556537688,1,1,1,0
0xSender00360,0xReceiver00169,5.846839338624365,172.60539271105506,306457,1670892690,1,1,1,1,84168311.56697424,0,1,1,0
0xSender00152,0xReceiver00181,0.4951808640623668,30.742243333314885,448317,1673311295,1,2,1,0,97911297.54522392,0,0,0,0
0xSender00131,0xReceiver00366,6.041229908175957,134.30464938446357,137686,1673914401,4,3,2,1,75763478.4420735,0,1,1,0
0xSender00150,0xReceiver00178,8.006104516311845,125.33000018585214,469186,1671776217,6,2,0,0,82534208.18644984,1,1,0,0
0xSender00309,0xReceiver00143,5.854067569532167,99.82756267290146,67893,1673183057,7,3,0,1,312147727.9570722,1,1,1,1
0xSender00258,0xReceiver00362,9.970247827571354,62.86457830618694,68703,1675888988,8,2,0,1,53348715.93125139,1,0,0,0
0xSender00344,0xReceiver00248,4.564106336802526,86.75173499867559,405506,1672755817,8,4,1,1,72436222.47426099,1,0,0,0
0xSender00492,0xReceiver00127,7.490786361403835,163.21434708759892,72489,1671274027,1,2,0,0,4540525.001815811,1,0,0,0
0xSender00414,0xReceiver00263,6.675460784501656,154.69465495375948,156975,1670171610,8,2,1,1,7078652.034736274,1,0,0,0
0xSender00294,0xReceiver00040,9.9144025986653,150.37373188061594,422894,1672105764,1,1,1,1,69040075.36904219,0,1,1,0
0xSender00386,0xReceiver00412,7.13505786072028,152.46648102860098,479983,1672816378,3,4,2,1,170859632.47059375,1,1,1,1
0xSender00192,0xReceiver00416,1.6486670072793002,37.33841112751443,304155,1679703764,5,4,0,1,49394601.28837919,0,1,0,0
0xSender00444,0xReceiver00355,9.555621887108236,28.828325568862013,241258,1675924799,8,1,1,1,78417263.8023311,0,0,1,0
0xSender00277,0xReceiver00255,6.681094492193155,173.6847383422642,262984,1675216926,8,3,0,1,58138632.932286456,1,0,0,0
0xSender00161,0xReceiver00143,0.602788925755835,169.06316836544434,69733,1670802767,6,2,1,0,80720925.59164272,0,0,1,0
0xSender00460,0xReceiver00240,6.579107374788278,139.45047776880904,126942,1671333435,4,1,1,1,42496368.974893704,1,0,1,0
0xSender00314,0xReceiver00228,8.832362872681003,125.12209160995226,274775,1676681613,4,4,1,0,29454911.944182932,0,1,1,0
0xSender00022,0xReceiver00341,5.774648201280351,79.7056242316538,211731,1677982490,8,2,1,0,24248853.97950301,1,0,0,0
0xSender00253,0xReceiver00198,3.546656183939792,52.57569239982062,492759,1673001156,3,2,2,1,14036414.156246513,1,1,0,0
0xSender00236,0xReceiver00065,8.210887244365454,136.8547231686689,290982,1677916110,8,3,0,0,4642855.705121877,0,1,0,0
0xSender00345,0xReceiver00388,7.827294961976236,183.4765812356706,451167,1673329829,4,3,0,0,6261752.552657053,0,1,0,0
0xSender00049,0xReceiver00011,5.446379720770695,93.0293493902485,433663,1670620861,9,2,1,1,139144419.43074304,1,1,1,1
0xSender00475,0xReceiver00108,1.5520740812600444,67.61036934235167,376561,1676831249,2,2,0,1,142814234.20056215,1,1,1,1
0xSender00059,0xReceiver00026,2.5173549903765817,61.44094456300331,265765,1671357181,1,2,0,1,38796668.37428786,0,1,0,0
0xSender00170,0xReceiver00445,7.387454882139196,14.503996150952238,215078,1679811958,4,3,0,1,59570119.75271105,0,0,1,0
0xSender00476,0xReceiver00421,8.062760832295325,108.86017721687243,236936,1673094707,9,3,2,0,76170653.97807401,1,0,0,0
0xSender00188,0xReceiver00151,2.7998601276294877,197.76484567241798,274132,1676128151,7,1,1,1,102863978.98908482,1,1,1,1
0xSender00464,0xReceiver00221,3.6861709210959983,164.89516606647126,312884,1677242850,9,3,2,0,76165569.48329994,1,1,1,0
0xSender00271,0xReceiver00341,0.7855425336454535,180.52019645139907,406139,1675766534,9,4,0,1,14759963.251345407,0,1,1,0
0xSender00190,0xReceiver00496,7.137484864181332,128.02117829234615,302230,1679621773,9,4,0,0,98880668.44829744,1,1,1,0
0xSender00446,0xReceiver00237,0.04573967055431315,101.47481799172266,474315,1679655389,9,2,2,1,29218344.525178727,0,0,1,0
0xSender00175,0xReceiver00237,0.47494979697849005,198.18683140671277,421483,1672592206,7,2,1,1,419480832.2785539,1,1,1,1
0xSender00446,0xReceiver00497,0.05339723716305821,94.96080102138092,321871,1670655116,8,3,0,1,19856116.96102618,1,0,1,0
0xSender00051,0xReceiver00219,6.456742637542791,184.19780938555488,172179,1673111196,2,4,2,1,95113635.26328841,0,0,0,0
0xSender00364,0xReceiver00487,4.17969740572846,154.75051366890963,246976,1673456021,9,1,2,0,82836051.73600897,1,0,1,0
0xSender00055,0xReceiver00424,2.982492145819869,72.88590079523001,420911,1679975809,2,3,1,0,36579536.79415638,0,0,0,0
